TestFile,Epoch,Answer,Prediction
2_mp3,130,48,18
2_mp3,130,47,21
2_mp3,130,12,32
2_mp3,140,39,45
2_mp3,140,40,44
2_mp3,140,69,66
2_mp3,140,97,32
2_mp3,140,37,60
2_mp3,140,89,74
2_mp3,140,80,35
2_mp3,140,68,29
2_mp3,140,89,38
2_mp3,140,84,31
2_mp3,150,28,44
2_mp3,150,38,40
2_mp3,150,69,49
2_mp3,150,62,34
2_mp3,150,22,65
2_mp3,150,66,40
2_mp3,150,51,21
2_mp3,150,77,51
2_mp3,150,86,64
2_mp3,150,51,48
2_mp3,160,82,78
2_mp3,160,51,57
2_mp3,160,98,58
2_mp3,160,60,51
